lemma	pos	freq
kogu	a	482537
tegemine	s	407180
mõte	s	405073
kodu	s	391079
ettevõte	s	350333
nädal	s	349199
lõpp	s	329785
tegevus	s	326228
pikk	a	253192
jutt	s	243749
abi	s	209431
sõber	s	203409
kogemus	s	196209
tegu	s	192021
õpetaja	s	184215
lugu	s	176610
leping	s	167973
õpilane	s	165784
vabariik	s	165762
tugev	a	151388
idee	s	149876
vaba	a	148034
foto	s	139333
materjal	s	135303
viga	s	134163
tuba	s	127670
nägu	s	123453
süda	s	120257
rada	s	114309
dokument	s	111906
lugemine	s	107619
video	s	97312
kodanik	s	92019
sobiv	a	90862
ratas	s	90370
klubi	s	88024
sõda	s	87101
grupp	s	86663
koduleht	s	85925
rida	s	84655
sügis	s	82557
aken	s	80747
tükk	s	79049
madal	a	78821
kogus	s	78352
jõgi	s	76967
etapp	s	75732
hotell	s	73962
mudel	s	72363
tütar	s	68997
lugeja	s	68894
tegelane	s	68480
tagajärg	s	68214
paber	s	67307
tõde	s	66924
edu	s	66897
kott	s	61233
tuttav	a	60543
mägi	s	59096
õde	s	59023
kogudus	s	58562
pikkus	s	58241
luba	s	56351
abikaasa	s	56240
hobune	s	54400
mugav	a	54132
sekund	s	53696
edukas	a	53695
häda	s	53308
tegelik	a	52623
pidev	a	49005
abielu	s	48870
sadam	s	46231
vabadus	s	45670
tipp	s	45641
tegija	s	43712
vägi	s	43334
kodune	a	43256
tabel	s	43043
blog	s	42800
nupp	s	42488
detail	s	42320
aku	s	41930
tagamine	s	41715
pakk	s	41180
katus	s	41169
õppimine	s	40892
edasine	a	40019
register	s	39799
kogukond	s	39396
odav	a	38814
jagu	s	37583
etendus	s	37495
side	s	37056
sügav	a	36920
ideaalne	a	36374
lipp	s	36173
tugi	s	35842
kütus	s	35634
rakendus	s	34660
õpetus	s	34435
jube	a	34057
takistus	s	34055
segadus	s	33779
tudeng	s	33679
segu	s	33456
lõbus	a	32864
õppekava	s	32792
pudel	s	32743
võti	s	32651
ida	s	32638
tuttav	s	32574
magus	a	32356
jagamine	s	32309
säte	s	31687
pidu	s	31267
pikkune	a	30985
kodumaa	s	30840
kapp	s	30480
näpp	s	30218
äge	a	30133
raport	s	29922
kate	s	29254
õpe	s	29142
igav	a	28728
saba	s	28715
tegutsev	a	28581
iga	s	28579
rikas	a	28440
net	s	28293
nägemine	s	27895
teke	s	27794
mõttetu	a	27629
vitamiin	s	27501
sugulane	s	27419
super	s	27318
lubadus	s	27101
rakk	s	27050
tagumine	a	26944
sõdur	s	26792
vägivald	s	26757
tegur	s	26684
tsitaat	s	26586
vigastus	s	26538
õppejõud	s	26333
pakend	s	26095
kogumine	s	26031
pott	s	25455
vedelik	s	25338
pakutav	a	24826
pakett	s	24779
rekord	s	24351
regioon	s	24292
võte	s	23634
koguaeg	s	23589
sibul	s	23536
pädevus	s	23488
pidamine	s	23255
metall	s	23126
siga	s	22971
ketas	s	22755
sobilik	a	22393
jupp	s	21532
tugevus	s	21329
trepp	s	21304
nipp	s	20889
kogu	s	20888
segane	a	20848
supp	s	20664
pagulane	s	20649
robot	s	20595
pakkuja	s	20030
medal	s	19501
pädev	a	19489
koda	s	19251
patt	s	19179
ladu	s	19166
tekk	s	19151
sagedus	s	19104
tegelev	a	19042
šokolaad	s	18950
õping	s	18688
sokk	s	18579
tekkiv	a	18551
rott	s	18442
nuga	s	18437
edetabel	s	18397
kett	s	18301
lukk	s	18283
pidulik	a	18246
mugavus	s	17547
tädi	s	17347
vabandus	s	17343
nägemus	s	17216
putukas	s	17068
legend	s	16932
igavene	a	16839
sügavus	s	16772
pakkuv	a	16715
õppetöö	s	16688
aparaat	s	16466
lõpetus	s	16450
kapital	s	16117
läbimine	s	15915
õppija	s	15842
õppus	s	15823
ligipääs	s	15615
hobi	s	15467
läbimõõt	s	15436
häbi	s	15215
rõdu	s	15041
kogumik	s	14960
logo	s	14928
nukk	s	14871
sadu	s	14849
kokk	s	14813
tagatis	s	14677
nutikas	a	14433
padi	s	14372
motiiv	s	14278
pidur	s	14061
tsükkel	s	13887
madu	s	13829
labor	s	13587
pipar	s	13448
pettumus	s	13369
kadumine	s	13305
ideaal	s	13303
klikk	s	13254
agentuur	s	13228
raba	s	13208
tegev	a	13044
kabinet	s	12973
ebamugav	a	12970
vägev	a	12902
kutt	s	12873
rikkalik	a	12824
trikk	s	12521
plekk	s	12506
küte	s	12440
õpik	s	12418
tsikkel	s	12321
õppetund	s	12314
käpp	s	12231
udu	s	12193
kataloog	s	12187
hüpe	s	12131
abiline	s	12092
hõbe	s	11966
lagi	s	11954
debatt	s	11912
rikkus	s	11885
prügi	s	11815
riba	s	11718
mobiil	s	11636
kitarr	s	11622
kude	s	11593
puder	s	11592
blogis	s	11444
lett	s	11427
põgenik	s	11397
lõke	s	11256
sobivus	s	11249
pettus	s	11180
klapp	s	11128
rattur	s	11107
jogurt	s	11034
lõputu	a	10998
vedu	s	10982
protest	s	10892
suguvõsa	s	10791
vedel	a	10624
rakett	s	10601
notar	s	10545
vidin	s	10446
pagas	s	10425
lepe	s	10388
matt	s	10364
plokk	s	10310
prokurör	s	10237
sitt	s	10130
mobiilne	a	10070
modell	s	9891
patarei	s	9867
pagan	s	9617
betoon	s	9607
täpp	s	9599
papp	s	9580
läbiv	a	9512
lõbu	s	9501
blogi	s	9481
tekitav	a	9470
napp	a	9463
ott	s	9410
britt	s	9346
abinõu	s	9341
plakat	s	9316
libe	a	9184
hubane	a	9178
agent	s	9064
rebane	s	9019
vigane	a	8997
trükk	s	8928
pataljon	s	8891
lõpetaja	s	8687
tibu	s	8674
sügisene	a	8643
pedagoog	s	8627
nutt	s	8625
latt	s	8585
kodukord	s	8570
hagi	s	8518
abort	s	8418
magamine	s	8417
lakk	s	8406
rituaal	s	8399
etteaste	s	8377
jope	s	8373
tagumik	s	8295
edusamm	s	8258
logi	s	8255
kogum	s	8177
trükis	s	8127
jutustus	s	8089
vikk	s	8053
rätik	s	8029
tagune	a	7992
sidur	s	7990
sugu	s	7990
muda	s	7963
sade	s	7937
vedaja	s	7930
katel	s	7919
ego	s	7892
episood	s	7882
tiba	s	7882
kodutöö	s	7849
igapäev	s	7825
rike	s	7799
tegus	a	7798
päkapikk	s	7791
matus	s	7694
õpituba	s	7672
uba	s	7664
rutiin	s	7635
reporter	s	7611
vapp	s	7546
ikoon	s	7536
hapukoor	s	7452
sadul	s	7448
veteran	s	7436
õppeaine	s	7428
krõbe	a	7386
igakuine	a	7385
pätt	s	7372
tobe	a	7351
kepp	s	7302
pakkumus	s	7285
pragu	s	7208
tõbi	s	7190
lõpp	a	7189
sigaret	s	7108
sepp	s	7042
lapp	s	7038
detailne	a	6933
totaalne	a	6882
vedamine	s	6882
südamlik	a	6841
läbisõit	s	6815
idioot	s	6815
õppur	s	6778
kadu	s	6778
tubakas	s	6748
tapeet	s	6702
habe	s	6676
hukkunu	s	6651
krediit	s	6644
sagedane	a	6642
gripp	s	6639
kukk	s	6620
pada	s	6597
tagamaa	s	6567
edel	s	6531
kapo	s	6524
siduv	a	6514
põder	s	6512
edukus	s	6503
hitt	s	6483
kodukoht	s	6482
šokk	s	6426
igatsus	s	6368
klipp	s	6349
apelsin	s	6342
kagu	s	6308
kodusõda	s	6296
kudumine	s	6272
hapu	a	6253
õppiv	a	6245
idu	s	6222
vapper	a	6199
sidumine	s	6176
tükike	s	6066
udune	a	6063
kade	a	6055
pubi	s	5963
hüpotees	s	5944
vagun	s	5940
ide	s	5935
natuke	s	5933
vaga	a	5897
lage	a	5875
tabamus	s	5874
moto	s	5844
tege	s	5813
sodi	s	5806
kodulinn	s	5783
nukker	a	5783
kadedus	s	5748
ige	s	5731
sitt	a	5725
pidav	a	5721
tige	a	5682
blogija	s	5650
kukal	s	5627
nokk	s	5608
edulugu	s	5595
räpane	a	5570
kabel	s	5566
säde	s	5554
lõputöö	s	5545
tegelt	s	5532
kapott	s	5518
makk	s	5476
pedaal	s	5464
nakkus	s	5437
hõbedane	a	5435
tapp	s	5424
jabur	a	5412
hape	s	5375
ettemaks	s	5373
tõdemus	s	5372
vagu	s	5359
idufirma	s	5351
radar	s	5286
õpetlik	a	5265
lugematu	a	5243
higi	s	5237
nädalane	a	5220
blokk	s	5205
ebaselge	a	5181
top	s	5167
mõttekas	a	5162
äpp	s	5132
sobimatu	a	5128
tikk	s	5099
plika	s	5071
hakk	s	5053
tõke	s	5045
kokkupuu	s	5023
juga	s	5012
kabiin	s	4999
sipelgas	s	4981
koduloom	s	4963
jada	s	4951
luterlik	a	4951
kodukant	s	4920
igavus	s	4920
apostel	s	4871
legaalne	a	4853
pidaja	s	4841
kibe	a	4836
abimees	s	4816
igaljuht	s	4810
modernne	a	4806
idaosa	s	4801
lubamine	s	4773
tripp	s	4756
vetikas	s	4741
identne	a	4739
jakk	s	4733
rukis	s	4706
kakao	s	4695
pidustus	s	4688
debüüt	s	4673
lubamatu	a	4652
vegan	s	4644
tagune	s	4635
lokaalne	a	4630
mega	a	4623
figuur	s	4619
patent	s	4607
budism	s	4591
kuberner	s	4557
setu	s	4534
videos	s	4512
titt	s	4512
papagoi	s	4503
tupp	s	4452
mutt	s	4440
segamine	s	4427
labane	a	4399
sugukond	s	4375
südalinn	s	4371
kadakas	s	4371
kübar	s	4361
tagakülg	s	4352
äkiline	a	4326
nõbu	s	4318
return	s	4315
makaron	s	4306
not	s	4298
redel	s	4278
südaöö	s	4271
pakane	s	4231
prügila	s	4225
ike	s	4215
mutter	s	4152
igavik	s	4151
üdi	s	4148
kogumaht	s	4143
that	s	4129
tugitool	s	4122
rabarber	s	4122
tita	s	4105
mõtetu	s	4104
koduaed	s	4086
õpitu	s	4084
vapustav	a	4082
kodutu	a	4076
sage	a	4070
topp	s	4051
pekk	s	4038
õppelaen	s	4032
pikendus	s	4024
vatt	s	4021
jagaja	s	4015
õppepäev	s	3986
labidas	s	3983
lõppev	a	3955
tekitaja	s	3940
leke	s	3940
mätas	s	3937
rippuv	a	3927
kodutee	s	3903
tugiisik	s	3868
sukk	s	3861
brigaad	s	3859
adapter	s	3857
okas	s	3849
ebaaus	a	3841
vedur	s	3814
kopp	s	3806
hageja	s	3795
mode	s	3779
kattev	a	3764
doping	s	3744
hüpoteek	s	3738
tribüün	s	3726
fotoka	s	3724
põgus	a	3717
kopikas	s	3711
setomaa	s	3708
abistav	a	3700
latern	s	3698
õppekeel	s	3693
takisti	s	3679
madis	s	3665
eduseis	s	3661
tagaiste	s	3655
õppetool	s	3653
ebasobiv	a	3650
rutiinne	a	3641
protees	s	3641
magister	s	3623
ebaõige	a	3618
vokaal	s	3615
tagavara	s	3611
natt	s	3589
tatar	s	3577
abiraha	s	3573
tokk	s	3567
regatt	s	3562
kütt	s	3557
õppemaks	s	3553
patune	a	3550
etikett	s	3548
ebaõnn	s	3543
mudilane	s	3541
seto	s	3525
tigu	s	3521
käbi	s	3516
pagar	s	3507
hügieen	s	3505
läpaka	s	3494
loterii	s	3485
proteiin	s	3478
kuppel	s	3476
popp	a	3464
radika	s	3463
tegemata	a	3461
igalpool	s	3435
õppereis	s	3432
tagaosa	s	3428
trupp	s	3419
tegelnud	a	3415
abitu	a	3414
hekk	s	3389
pukk	s	3364
abistaja	s	3356
kotike	s	3350
naba	s	3347
vat	s	3328
südamik	s	3324
kadunu	s	3299
igakord	s	3268
pidupäev	s	3232
tikand	s	3231
koguja	s	3220
segakoor	s	3220
küttepuu	s	3188
lagunev	a	3184
radikaal	s	3169
jobu	s	3157
lipulaev	s	3148
liberaal	s	3135
õpp	s	3125
kodutu	s	3124
sedaan	s	3116
lokk	s	3101
ropp	a	3100
